loca, locorum n. (Pluralwort);die Gegend
condere, condo, condidi, conditum;gr#unden
invinire, invenio, inveni, inventum;(er)finden
moenia, moenium n. (Pluralwort);die (Stadt-)Mauer
studium, studii n.;der Eifer,die Bem#uhung
occupatus, occupata, occupatum (in m. Abl.);besch#aftigt (m. etw.)
uter?, Gen. utrius, Dat. utri;wer? (von zweien)
utrum;direkte Frage: un#ubersetzt,indirekte Frage: ob
an;oder (etwa)
certare;streiten,k#ampfen
consentire, consentio, consensi, consensum;#ubereinstimmen
uterque, utraque, utrumque, Gen. utriusque, Dat. utrique;jeder (von zweien),beide
alter, altera, alterum, Gen. alterius, Dat. alteri;der eine,der andere (von zweien)
quoniam;da ... ja,wo ... doch
(m. Dat.) opus est (m. Abl.);es ist n#otig,(jmd.) braucht (etw.)
ambo;beide
