prior, prior, prius;der erste (von zweien),der fr#uhere
sex;sechs
paulo;(ein) wenig
post (Adv.);sp#ater,danach
avis, avis f.;der Vogel
momentum, mmenti n.;die Entscheidung,die Wichtigkeit
commovere, commoveo, commovi, commotum;erregen,bewegen,veranlassen
irridere, irrideo, irrisi, irrisum;verspotten,auslachen
quemadmodum;wie,auf welche Weise
parvus, parva, parvum;klein
circumdare, circumdo, circumdedi, circumdatum;umgeben,umzingeln
audacia, audaciae f.;die Frechheit,die K#uhnheit
iratus, irata, iratum;zornig,w#utend
interficere, interficio, interfeci, interfectum;t#oten
obtinere, obtineo, obtinui, obtentum;erlangen,behaupten
