superbus, superba, superbum;stolz,arrogant
imperare (m. Dat.);befehlern,herrschen (#uber)
plebs, plebis f.;die Plebejer,das (einfache) Volk,die Masse
patres, patrum m.;die Patrizier,die Senatoren
munus, muneris n.;das Amt,die Aufgabe,das Geschenk
inimicus, inimica, inimicum;feindlich,Subst. der Feind
princeps, principis m.;der Angesehenste,der f#uhrende Mann,der Herrscher
nepos, nepotis m.;der Enkel,der Neffe
parcere, parco, peperci, - (m. Dat.);(jmdn.) schonen
quia;weil
(se) fingere, fingo, finxi, fictum;formen,gestalten,sich ausdenken,vort#auschen,(sich ... stellen)
iniuria, iniuriae f.;das Unrecht,die Gewalttat,die Ungerechtigkeit
perspicere, perspicio, perspexi, perspectum;erkennen,genau sehen,durchschauen
tutus, tuta, tutum;sicher,gesch#utzt
dies, diei m.;der Tag
