terribilis, terribilis, terribile;schrecklich
consulere, consulo, consului, consultum;(m. Akk.) um Rat fragen,befragen,(m. Dat.) sorgen f#ur
comes, comitis m./f.;der Begleiter / die Begleiterin
gaudium, gaudii n.;die Freude
afficere, afficio, affeci, affectum (m. Abl.);versehen (m. etw.)
eo (Adv.);dorthin
mandatum, mandati n.;der Auftrag
perficere, perficio, perfeci, perfectum;ausf#uhren,vollenden
aliquando;irgendwann (einmal),einst
finire;(be)enden
agitare;(an)treiben
ingenium, ingenii n.;die Begabung,der Verstand,der Charakter
os, oris n.;der Mund,das Gesicht
mollis, mollis, molle;freundlich,weich,angenehm
pellere, pello, pepuli, pulsum;schlagen,sto#sen,vertreiben
