arx, arcis f.;die Burg
expugnare;erobern,erst#urmen
natura, naturae f.;die Beschaffenheit,die Natur,das Wesen
tot;so viele
vigilia, vigiliae f.;die Wache,der Wachposten
diligens, Gen. diligentis;gewissenhaft,sorgf#altig
custodire;bewachen
angustus, angusta, angustum;eng,schwierig
pauci, paucae, pauca;(nur) wenige
munire;befestigen
somnus, somni m.;der Schlaf
privare (m. Abl.);(einer Sache) berauben,(um etw.) bringen
animadvertere, animadverto, animadverti, animadversum (in m. Akk.);bemerken,entdecken,vorgehen (gegen jmdn.)
copia, copiae f.;der Vorrat,die Menge,Pl. auch die Truppen
succedere, succedo, successi, successum;anr#ucken (gegen),(nach)folgen
