temptare;pr#ufen,versuchen,angreifen
ascendere, anscendo, ascendi, ascensum;hinaufsteigen,hinaufklettern
immo;ja sogar,im Gegenteil
fallere, fallo, fefelli, -;t#auschen,betr#ugen
sacer, sacra, sacrum;heilig,geweiht
inopia, inopiae f.;der Mangel
excitare;(auf)wecken,erregen,ermuntern
virtus, virtutis f.;die T#uchtigkeit,die Tapferkeit,die Tugend,Pl. auch die gute Eigenschaft
rapere, rapio, rapui, raptum;(an sich,weg)rei#sen,rauben
oppugnare;angreifen,belagern
liberi, liberorum m. (Pl.);die Kinder
fortis, fortis, forte;tapfer,mutig,kr#aftig
pervenire, pervenio, perveni, perventum;hinkommen,ankommen,gelangen
ruere, ruo, rui, - (in m. Akk.);(auf jmdn.) losst#urmen,einst#urzen
acies, aciei f.;das (kampfbereite) Heer,die Schlachtordnung
